,,,Healthy.T2.004,Healthy.T2.010,Healthy.T3.014,Healthy.T3.015,Healthy.T3.017,Healthy.T3.019,Healthy.T2.033,Unhealthy.T2.012,Unhealthy.T3.018,Unhealthy.T3.022,Unhealthy.T3.044,Unhealthy.T3.051,Unhealthy.T3.052,Unhealthy.T3.053,AVEUNHEALTHY
Streptococcaceae;g,Streptococcus;s,mutans,0.0003507159443,0,0,0,0,0,0.0009047847145,0,0,0,0,0,0,0,0
Streptococcaceae;g,Streptococcus;s,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009799229161,0.00139988988
Streptococcaceae;g,Streptococcus;s,oralis-parasanguinis,0.0002297794118,0,0.0008129545405,0,0,0.0002391772303,0,0,0,0,0.001032045671,0.0002920614059,0,0,0.0001891581539
Streptococcaceae;g,Streptococcus;s,parasanguinis,0.0005684017028,0.0003904915312,0.006459692835,0,0,0.0002541258072,0.002948533717,0.0004927897085,0,0,0.003357414399,0,0,0.0004282439479,0.0006112068651
Streptococcaceae;g,Streptococcus;s,salivarius-thermophilus,0,0,0,0.002318308073,0,0,0.0005641598808,0,0,0,0.001018981802,0,0,0,0.0001455688289
Streptococcaceae;g,Streptococcus;s,salivarius-vestibularis,0.004256965944,0.004353980573,0.02493792982,0,0.003543117944,0.002571155226,0.007270211294,0.0009337068161,0.006351541084,0.0003512931981,0.01405672332,0.001861891463,0.004815229563,0.002745799431,0.004445169268
Streptococcaceae;g,Streptococcus;s,sanguinis,0,0.0001171474594,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcaceae;g,Streptococcus;s,sobrinus,0,0,0,0,0,0.0003139201148,0,0,0,0,0,0,0,0,0
Christensenellaceae;g,NA;s,sp30156,0,0,0,0,0,0,0,0,0,0,0.0003527244699,0,0,0,0.00005038920999
Christensenellaceae;g,NA;s,sp30221,0,0,0,0,0,0,0,0,0,0,0.0002090219081,0.0002372998923,0,0,0.0000637602572
Christensenellaceae;g,NA;s,sp30239,0,0,0,0,0,0,0,0,0,0,0,0.0002007922166,0,0,0.00002868460237
Christensenellaceae;g,NA;s,sp30266,0,0.0001073851711,0,0,0,0,0,0,0,0,0,0,0,0,0
Christensenellaceae;g,NA;s,sp30326,0,0,0,0,0,0,0,0,0,0,0.0006531934628,0,0,0,0.00009331335183
Christensenellaceae;g,NA;s,sp30337,0,0,0,0,0,0,0,0,0,0,0.0003527244699,0,0,0,0.00005038920999
Christensenellaceae;g,NA;s,sp30349,0,0,0,0,0,0,0,0,0,0,0,0.0002190460544,0,0,0.00003129229349
Christensenellaceae;g,NA;s,sp30398,0,0.001230048323,0,0,0.0008407398511,0,0,0,0,0.002049210322,0.003017753798,0.003376960006,0,0,0.001206274875
Christensenellaceae;g,NA;s,sp30399,0,0.001806023332,0,0.001618441485,0,0,0,0,0,0,0,0.01365387073,0,0,0.001950552961
Christensenellaceae;g,NA;s,sp30431,0,0,0,0,0,0,0,0,0,0,0.0002743412544,0,0,0,0.00003919160777
Christensenellaceae;g,NA;s,sp30434,0,0,0,0,0,0,0,0,0,0,0.0004441715547,0.01310625559,0,0,0.001935775306
Christensenellaceae;g,NA;s,sp30444,0,0,0,0,0,0,0,0,0,0,0.0002743412544,0,0,0,0.00003919160777
Clostridiaceae;g,Clostridium;s,butyricum,0.0002055921053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridiaceae;g,Clostridium;s,celatum,0,0.0004100161078,0,0,0,0,0,0.0004798215583,0,0,0.001071237279,0.0006206304876,0,0.02566944605,0.003977305054
Clostridiaceae;g,Clostridium;s,paraputrificum,0,0,0,0,0,0,0.0002128905211,0,0,0,0,0,0,0,0
Clostridiaceae;g,Clostridium;s,perfringens,0,0.0002245326304,0,0,0,0,0,0,0,0,0,0,0,0,0
Defluviitaleaceae;g,NA;s,sp31146,0,0,0,0,0,0,0,0,0,0,0,0.000419838271,0,0,0.00005997689586
Eubacteriaceae;g,Eubacterium;s,limosum,0,0,0.0003954913981,0,0,0,0,0,0,0,0,0,0,0,0
FamilyXI;g,Tissierella;s,praeacuta,0,0,0,0,0,0,0,0.0002593630045,0,0,0,0,0,0,0.00003705185778
